ID	t	A0	notFoundBySE
151	10	0.577006	
151	14	0.150091	
152	0	0.557865	
152	1	0.48367	
152	5	0.287083	
152	7	0.26617	
152	10	0.030933	
152	14	0.282268	
153	1	0.497826	
153	3	0.203137	
153	5	0.168968	
153	7	0.280916	
153	14	0.153554	
154	0	0.336952	
154	1	0.34481	
154	3	0.317655	
154	5	0.259698	
154	7	0.224547	
154	10	0.165415	
154	14	0.163322	
155	0	0.366886	
155	1	0.343382	
155	3	0.299152	
155	5	0.254549	
155	7	0.225868	
155	10	0.189072	
155	14	0.141148	
156	0	0.437262	
156	1	0.419341	
156	3	0.360374	
156	5	0.287593	
156	7	0.269005	
156	10	0.194772	
156	14	0.16224	
157	0	0.723473	
157	1	0.426347	
157	3	0.331654	
157	5	0.585639	
157	7	0.556772	
157	14	0.240187	
158	1	0.285667	
158	3	0.228393	
158	5	0.209159	
158	10	0.162969	
158	14	0.110424	
159	0	0.480195	
159	1	0.489102	
159	3	0.646409	
159	5	0.446216	
159	7	0.382465	
159	10	0.359299	
159	14	0.29534	
160	0	0.364185	
160	1	0.326623	
160	3	0.302015	
160	5	0.244776	
160	7	0.182112	
160	10	0.16376	
160	14	0.114805	
161	0	0.378625	
161	1	0.403463	
161	3	0.292614	
161	5	0.235042	
161	7	0.189515	
162	0	0.251621	
162	1	0.459069	
162	3	0.438339	
162	5	0.286826	
162	7	0.202119	
162	10	0.156029	
163	0	0.294967	
163	1	0.337778	
163	3	0.198409	
163	5	0.249864	
163	7	0.189527	
163	10	0.166776	
163	14	0.0852963	
164	0	0.51614	
164	1	0.562593	
164	3	0.417319	
164	5	0.276086	
164	7	0.333045	
164	10	0.281995	
164	14	0.220432	
165	1	0.50737	
165	3	0.313651	
165	5	0.183652	
165	7	0.412933	
165	10	0.34294	
166	0	0.415585	
166	1	0.398922	
166	5	0.289834	
166	7	0.233745	
166	10	0.1897	
166	14	0.165104	
167	0	0.313812	
167	5	0.427747	
167	7	0.353482	
167	10	0.186716	
167	14	0.181161	
168	0	0.318311	
168	1	0.293383	
168	3	0.278459	
168	5	0.223803	
168	7	0.11864	
169	0	0.402116	
