ID t A0
610 3 0.0793550075640989
610 2 0.0516917298896538
610 1 0.0508981365440224
610 0 0.0113606255631545
611 30 0.338175545366719
611 22 0.34720089468779
611 17 0.321448581413968
611 12 0.241257450078791
611 9 0.201734631568278
611 6 0.150888550754104
611 4 0.10218891148098
611 3 0.0702091883946105
611 2 0.0509107387858006
611 1 0.037857348284822
611 0 0.0183972506289217
612 30 0.413831533254179
612 22 0.422427001960704
612 17 0.407976967200307
612 12 0.350429450608691
612 9 0.314650955579405
612 6 0.233493005931972
612 4 0.225855411942655
612 3 0.189715277187071
612 2 0.168726748775522
612 1 0.182212991645073
612 0 0.165444296216979
613 30 0.373075970379396
613 22 0.336330636629792
613 17 0.308358091309516
613 12 0.268071371472113
613 9 0.219281514444037
613 6 0.165386949201947
613 4 0.131307400673089
613 3 0.0900863846266918
613 2 0.0607652815966087
613 1 0.0535449062765521
613 0 0.0482991875877706
614 30 0.43016874252377
614 22 0.400534777178248
614 17 0.37639396407558
614 12 0.354625624473503
614 9 0.31374104925723
614 6 0.272786735422984
614 4 0.212889391198468
614 3 0.172675370222366
614 2 0.137294926479731
614 1 0.110180534759003
614 0 0.0566035187289853
615 30 0.296845113799762
615 22 0.30556489569688
615 17 0.237666473993231
615 12 0.247988278924296
615 9 0.203180868459299
615 6 0.2022733128782
615 4 0.141970864870516
615 3 0.0945838229424961
615 2 0.0782104855138888
615 1 0.0577954790124465
615 0 0.025320081637166
616 30 0.424351891280463
616 22 0.402405229531225
616 17 0.376385070863073
616 12 0.350903549124373
616 9 0.316117887979813
616 6 0.255800702270594
616 4 0.193197367104346
616 3 0.141817556032713
616 2 0.0933761638376836
616 1 0.0770663205822433
616 0 0.0150138933038957
617 30 0.454993794723542
617 22 0.441687629236426
617 17 0.422948426537603
617 12 0.394224879578904
617 9 0.373554996653848
617 6 0.310614956062194
617 4 0.273257230997293
617 3 0.222515760922953
617 2 0.173582117723982
617 1 0.13380132322098
617 0 0.0705234704968223
618 30 0.425363184432584
618 22 0.401091763404366
618 17 0.413236084716435
618 12 0.384711374237445
618 9 0.393271117510012
618 6 0.295799102660896
618 4 0.23612392987004
618 3 0.191971059161323
618 2 0.118041836337982
618 1 0.0898661821774907
618 0 0.0157192228541695
619 30 0.924200744300908
619 22 0.401480709063495
619 17 0.364631798752486
619 12 0.349153310718614
619 9 0.309770205982602
619 6 0.244540892328629
619 4 0.122162224842436
619 3 0.0384524442546419
619 2 0.0229757893739844
619 1 0.0387005595359873
619 0 0.0284513066419177
620 30 0.39591112891427
620 22 0.368864460134154
620 17 0.331755379520512
620 12 0.299790493179717
620 9 0.26323387410051
620 6 0.191369196575003
620 4 0.158871549466705
620 3 0.116233807481231
620 2 0.0842953469097637
620 1 0.0646291396396596
620 0 0.0213607324038651
621 30 0.424582785316742
621 22 0.408062361404521
621 17 0.371365750704288
621 12 0.35401087543527
621 9 0.288903432888308
621 6 0.216758587977529
621 4 0.178089885059423
621 3 0.142669652121693
621 2 0.0988807866511609
621 1 0.0959605998483511
621 0 0.0216964821860775
622 30 0.409834349037132
622 22 0.29353431923607
622 17 0.302571167654027
622 12 0.309949758765623
622 9 0.245010065277349
622 6 0.19487502037469
622 4 0.137033803942857
622 3 0.110826733976404
622 2 0.0636384631136656
622 1 0.0435303241284789
622 0 0.00366412958962651
623 30 0.368027640071394
623 22 0.382573766790242
623 17 0.348589932499571
623 12 0.319479492099687
623 9 0.261350466095599
623 6 0.197242767809672
623 4 0.148002687795188
623 3 0.108077212985483
623 2 0.0724923219801495
623 1 0.0538887713818142
623 0 0.00139363446730948
624 30 0.409889485597187
624 22 0.380206033438034
624 17 0.361426819420689
624 12 0.332268873183102
624 9 0.272553808371778
624 6 0.206345602550934
624 4 0.156912403734491
624 3 0.116132671832329
624 2 0.0692434955539083
624 1 0.0561257208754525
624 0 0.00555499194904925
625 30 0.376626015461512
625 22 0.339174860295474
625 17 0.316041266905408
625 12 0.298509290895757
625 9 0.245744206883124
625 6 0.233916393382335
625 4 0.194955949560358
625 3 0.148003101770585
625 2 0.129971453446824
625 1 0.139269086284104
625 0 0.1213016417874
626 30 0.0402020581154733
626 22 0.32750507259331
626 17 0.325834032235537
626 12 0.309540352158184
626 9 0.273948227524034
626 6 0.224468564740729
626 4 0.185984531027939
626 3 0.13769591226855
626 2 0.0904616607342755
626 1 0.0704592502595693
626 0 0.0115011911334531
627 30 0.416479472339596
627 22 0.406134932052605
627 17 0.389836402142884
627 12 0.37570672655383
627 9 0.342521492872857
627 6 0.274780189364473
627 4 0.213353693716107
627 3 0.157985689933582
627 2 0.104626907838316
627 1 0.0691759006905383
627 0 0.00447737391827197
628 30 0.361229389634357
628 22 0.428159957240062
628 17 0.424027320246534
628 12 0.392483652318257
628 9 0.357858204561865
628 6 0.290017746296783
628 4 0.233607441123566
628 3 0.182678177418599
628 2 0.127739541699776
628 1 0.100123862102647
628 0 0.0448079738873106
629 30 0.39957969833746
629 22 0.39379282180506
629 17 0.378702517073536
629 12 0.369149039734556
629 9 0.324644820268456
629 6 0.268268608545341
629 4 0.198384928912437
629 3 0.156952757586372
629 2 0.096650144971906
629 1 0.0660814225142918
629 0 0.00167732145197221
630 30 0.388878023002919
630 22 0.384771903444618
630 17 0.363736417242775
630 12 0.342954575533255
630 9 0.332586410897151
630 6 0.262518054766983
630 4 0.203189172134578
630 3 0.168068612272906
630 2 0.0997707125668523
630 1 0.0706070642779831
630 0 0.0142342261945395
631 30 0.346427740322828
631 22 0.311000769214873
631 17 0.26798394456145
631 12 0.260246183660543
631 9 0.204734899812
631 6 0.146060169156402
631 4 0.0941315781661951
631 3 0.0640204832528985
631 2 0.0278823288278408
631 1 0.0183365866000895
631 0 0.00526930847768844
632 30 0.379632986941467
632 22 0.319681661796982
632 17 0.329347854276338
632 12 0.35417393097483
632 9 0.274204288219065
632 6 0.254760607016737
632 4 0.152925576096471
632 3 0.151830046934168
632 2 0.0679861247149262
632 1 0.0449310930977977
632 0 0.00461504838632838
633 30 0.613185777992837
633 22 0.638339526093868
633 17 0.76529451755535
633 12 0.534153807964774
633 9 0.510368497268567
633 6 0.451214618381673
633 4 0.376410669838825
633 3 0.345295951644422
633 2 0.125883427064649
633 1 0.302211083482962
633 0 0.124823025574262
634 30 0.494829147020732
634 22 0.494131440043502
634 17 0.491767226324549
634 12 0.50055295621103
634 9 0.449682770638729
634 6 0.372007698520557
634 4 0.301978108568759
634 3 0.249312596112334
634 2 0.193305932302643
634 1 0.130658103818157
634 0 0.0263456767906529
635 30 0.60004721030215
635 22 0.582567142759147
635 17 0.542124350767423
635 12 0.524817729424385
635 9 0.472372509433278
635 6 0.396649342564904
635 4 0.308963670582072
635 3 0.240385538208352
635 2 0.162207805966065
635 1 0.102054364335458
635 0 0.00196748465561532
636 30 0.608105871465131
636 22 0.559560059525352
636 17 0.561133638921302
636 12 0.521315773812617
636 9 0.507286549870746
636 6 0.420312119177372
636 4 0.322616998256714
636 3 0.247173266865469
636 2 0.178849335713074
636 1 0.105049337187696
636 0 0.0214335376747122
637 30 0.261064975944701
637 22 0.244388994713783
637 17 0.23617364831142
637 12 0.241579023709937
637 9 0.22333488083433
637 6 0.206460181007453
637 4 0.188584848127541
637 3 0.17772703740821
637 2 0.129026704747268
637 1 0.141153011403196
637 0 0.728783053228013
638 30 0.413739757103001
638 22 0.391614945307705
638 17 0.377102789747935
638 12 0.364366094852964
638 9 0.331678931016076
638 6 0.269489837289006
638 4 0.209802907855312
638 3 0.162868725418576
638 2 0.113363058433605
638 1 0.0778998028711755
638 0 0.00283837690168826
639 30 0.306757704508825
639 22 0.375546302605949
639 17 0.349176009886022
639 12 0.361327618180121
639 9 0.288167608690773
639 6 0.24291499264174
639 4 0.19621727789531
639 3 0.14885164843798
639 2 0.110151199599529
639 1 0.0742380198120898
639 0 0.000568401069153379
640 30 0.414083194042054
640 22 0.422358806886203
640 17 0.405590219478771
640 12 0.382275695821639
640 9 0.35452575829547
640 6 0.280275569391096
640 4 0.233936268506101
640 3 0.173357637742898
640 2 0.128689078822231
640 1 0.0905067047416604
640 0 0.0275587704151608
641 30 0.279932987390031
641 22 0.357527765000557
641 17 0.369983699073662
641 12 0.365588960170414
641 9 0.315650715360889
641 6 0.222744923496316
641 4 0.16808205738262
641 3 0.139070848461352
641 2 0.117910898648182
641 1 0.0683616014599746
641 0 0.045890080422887
642 30 0.126083187441831
642 22 0.307815645030953
642 17 0.307652240182581
642 12 0.322869357154694
642 9 0.310965007773899
642 6 0.216610319668906
642 4 0.181195635142937
642 3 0.161716162878858
642 2 0.10672198305829
642 1 0.0726221166495924
642 0 0.0229371948315574
643 30 0.403291321992372
643 22 0.349854978497805
643 17 0.318389370786107
643 12 0.302300076565283
643 9 0.259246165880454
643 6 0.196126500870203
643 4 0.142635251864663
643 3 0.116045364237247
643 2 0.0714998469895134
643 1 0.0579241321561943
643 0 0.0098670666351722
644 30 0.396611588710915
644 22 0.301851522730791
644 17 0.288042188655943
644 12 0.27524640065529
644 9 0.249499832387221
644 6 0.181502694403771
644 4 0.128803330722161
644 3 0.102756057964232
644 2 0.0593693185535372
644 1 0.0404163696814494
644 0 0.000499494327264874
645 30 0.581027819295466
645 22 0.562871854315623
645 17 0.505524322678584
645 12 0.45813449561604
645 9 0.392112867562581
645 6 0.293601398936576
645 4 0.21970557746018
645 3 0.170847418834176
645 2 0.105591069175826
645 1 0.0796720652121916
645 0 0.0003757790112939
